claim_id,claim,grade,lean_can_check,lean_cannot_check,kill_condition
C1,There are 24 named ROOT properties,DERIVED,finite enumeration count,that the names match real divine or mathematical attributes,source canon changes or duplicates collapse the count
C2,The 24 split into 16 primitive core 6 derived 2 bridge risk,MAPPED,role classification and counts,that the classification is philosophically final,a derived property proves load-bearing or a primitive is redundant
C3,Full God/Math/Cosmos profile passes strict all-24 gate,DERIVED,boolean gate over encoded profiles,semantic truth of each domain assignment,any assignment rejected by independent domain model
C4,Removing a primitive property breaks the primitive gate,DERIVED,finite ablation tests,that every primitive is genuinely primitive in reality,a supposed primitive is derivable from other properties
C5,Removing bridge-risk properties preserves primitive gate,DERIVED,finite ablation tests,that bridge-risk properties are false or irrelevant,a bridge-risk property becomes necessary for the core proof
C6,Surface relabeling is insufficient for semantic bridge,DERIVED,semantic gate booleans and negative control,real adequacy criteria for each domain,relabeled system passes with full adequacy and reflection witnesses
C7,God -> Math -> Physics/Cosmos is a proven direction,CONJECTURE,only an encoded ordering or profile relation,actual metaphysical authorship or causal/explanatory direction,math or physics can explain same profile with equal compression and fewer commitments
C8,This is strict tridirectional isomorphism,OPEN,strict gate over shared property names,structure-preserving equivalence across rich domains,one domain uses a different relation or fails preservation/reflection
C9,Classical theism best compresses ROOT24,PARTIAL,score tables if supplied as data,truth of weights and rival scoring,reasonable rival scoring overtakes or ties theism
C10,Lean proves God,NEVER_RUN,nothing,existence or theological identification,any wording implies machine-checked theological conclusion
