canonical_id,human_claim,lean_kind,lean_name,depends_on,proof_status,kill_condition,bridge_status,claimed_type,definition_status,drift,mapped_to_claim,unit,file,line,signature
TPB-0001,,inductive,CouplingState,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,17,"inductive CouplingState where | C0 | C1 deriving DecidableEq, Repr"
TPB-0002,,def,transition,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,22,def transition : CouplingState → Option CouplingState | CouplingState.C0 => some CouplingState.C1 | CouplingState.C1 => none
TPB-0003,,inductive,Factor,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,41,inductive Factor where | G | M | E | S | T
TPB-0004,,structure,FactorState,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,57,structure FactorState where G : Nat M : Nat E : Nat S : Nat T : Nat
TPB-0005,,def,get,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,69,def get (f : Factor) (x : FactorState) : Nat
TPB-0006,,def,chi,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,83,def chi (x : FactorState) : Nat
TPB-0007,,def,gate,,DEFINED,,Definition / scaffold,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,86,def gate (x : FactorState) : Nat
TPB-0008,,theorem,G_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,91,theorem G_zero_collapses_chi (x : FactorState) (h : x.G = 0) : chi x = 0
TPB-0009,,theorem,M_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,94,theorem M_zero_collapses_chi (x : FactorState) (h : x.M = 0) : chi x = 0
TPB-0010,,theorem,E_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,97,theorem E_zero_collapses_chi (x : FactorState) (h : x.E = 0) : chi x = 0
TPB-0011,,theorem,S_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,100,theorem S_zero_collapses_chi (x : FactorState) (h : x.S = 0) : chi x = 0
TPB-0012,,theorem,T_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,103,theorem T_zero_collapses_chi (x : FactorState) (h : x.T = 0) : chi x = 0
TPB-0013,,theorem,K_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,106,theorem K_zero_collapses_chi (x : FactorState) (h : x.K = 0) : chi x = 0
TPB-0014,,theorem,R_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,109,theorem R_zero_collapses_chi (x : FactorState) (h : x.R = 0) : chi x = 0
TPB-0015,,theorem,F_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,112,theorem F_zero_collapses_chi (x : FactorState) (h : x.F = 0) : chi x = 0
TPB-0016,,theorem,C_zero_collapses_chi,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,115,theorem C_zero_collapses_chi (x : FactorState) (h : x.C = 0) : chi x = 0
TPB-0017,,theorem,R_gate_required,,PROVEN (compiles),,Formal-internal,,,,no,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,118,theorem R_gate_required (x : FactorState) : gate x = 0 → chi x = 0
TPB-0018,Q > 0 does NOT guarantee Ï‡ > 0 (G = 0 still kills it). No single factor saves you.,theorem,Q_nonzero_not_sufficient_for_positive_chi,MISSING,PROVEN (compiles),PLACEHOLDER,Formal-internal candidate (structural correspondence),C2 - Structural correspondence candidate,PLACEHOLDER,,yes,Faith-Thru-Physics-Lean-4-,Final_Lean4_From_Excel.lean,122,theorem Q_nonzero_not_sufficient_for_positive_chi (x : FactorState) (hQ : x.Q > 0) (hG : x.G = 0) : ¬ chi x > 0
